tolerance=1e-06 iterations=16366 n=100
Eigenvalue_0: 9.86881
rho: u_a: u_n:
0 0 0
0.00980392 0.0310999 -0.00309156
0.0196078 0.0621696 0.00928066
0.0294118 0.0931793 0.0131121
0.0392157 0.124099 0.0174631
0.0490196 0.154898 0.0217972
0.0588235 0.185548 0.0261102
0.0686275 0.216018 0.0303979
0.0784314 0.246279 0.0346562
0.0882353 0.276302 0.038881
0.0980392 0.306057 0.0430682
0.107843 0.335517 0.0472137
0.117647 0.364652 0.0513136
0.127451 0.393434 0.0553638
0.137255 0.421835 0.0593604
0.147059 0.449828 0.0632996
0.156863 0.477387 0.0671776
0.166667 0.504483 0.0709906
0.176471 0.531091 0.0747349
0.186275 0.557186 0.0784069
0.196078 0.582741 0.082003
0.205882 0.607733 0.0855198
0.215686 0.632136 0.0889539
0.22549 0.655929 0.092302
0.235294 0.679086 0.0955607
0.245098 0.701587 0.098727
0.254902 0.723409 0.101798
0.264706 0.744531 0.10477
0.27451 0.764933 0.107641
0.284314 0.784594 0.110408
0.294118 0.803497 0.113068
0.303922 0.821622 0.115618
0.313726 0.838953 0.118057
0.323529 0.855472 0.120382
0.333333 0.871163 0.12259
0.343137 0.886011 0.124679
0.352941 0.900003 0.126648
0.362745 0.913123 0.128494
0.372549 0.92536 0.130216
0.382353 0.936702 0.131812
0.392157 0.947138 0.133281
0.401961 0.956658 0.13462
0.411765 0.965252 0.13583
0.421569 0.972912 0.136908
0.431373 0.979631 0.137853
0.441176 0.985402 0.138665
0.45098 0.99022 0.139343
0.460784 0.99408 0.139886
0.470588 0.996978 0.140294
0.480392 0.998912 0.140566
0.490196 0.999879 0.140702
0.5 0.999879 0.140702
0.509804 0.998912 0.140566
0.519608 0.996978 0.140294
0.529412 0.99408 0.139886
0.539216 0.99022 0.139343
0.54902 0.985402 0.138665
0.558824 0.979631 0.137853
0.568627 0.972912 0.136908
0.578431 0.965252 0.13583
0.588235 0.956658 0.13462
0.598039 0.947138 0.133281
0.607843 0.936702 0.131812
0.617647 0.92536 0.130216
0.627451 0.913123 0.128494
0.637255 0.900003 0.126648
0.647059 0.886011 0.124679
0.656863 0.871163 0.12259
0.666667 0.855472 0.120382
0.676471 0.838953 0.118057
0.686275 0.821622 0.115618
0.696078 0.803497 0.113068
0.705882 0.784594 0.110408
0.715686 0.764933 0.107641
0.72549 0.744531 0.10477
0.735294 0.723409 0.101798
0.745098 0.701587 0.098727
0.754902 0.679086 0.0955607
0.764706 0.655929 0.092302
0.77451 0.632136 0.0889539
0.784314 0.607733 0.0855198
0.794118 0.582741 0.082003
0.803922 0.557186 0.0784069
0.813726 0.531091 0.0747349
0.823529 0.504483 0.0709906
0.833333 0.477387 0.0671776
0.843137 0.449828 0.0632996
0.852941 0.421835 0.0593604
0.862745 0.393434 0.0553638
0.872549 0.364652 0.0513136
0.882353 0.335517 0.0472137
0.892157 0.306057 0.0430682
0.901961 0.276302 0.038881
0.911765 0.246279 0.0346562
0.921569 0.216018 0.0303979
0.931373 0.185548 0.0261102
0.941177 0.154898 0.0217972
0.95098 0.124099 0.0174631
0.960784 0.0931793 0.0131121
0.970588 0.0621696 0.00874848
0.980392 0 0.00437636
1 0 0
